id;isbn;title;year
B001;978-0131103627;The C Programming Language;1988
B002;978-0201616224;The Pragmatic Programmer;1999
B003;978-0132350884;Clean Code;2008
B004;978-1449331818;Learning React;2020
B005;978-0321563842;The C++ Programming Language;2013
B006;978-1593279288;Python Crash Course;2019
B007;978-0134685991;Effective Java;2017
B008;978-1491950296;Programming C# 8.0;2019
B009;978-0135957059;The Pragmatic Programmer (20th);2019
B010;978-1491904244;You Don't Know JS;2015
B011;978-1111111111;Замало колонок
B012;978-2222222222;;2022
B013;978-3333333333;Неправильний рік;дві тисячіS
